kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord,institutionCode,catalogNumber,identifiedBy,dateIdentified,rightsHolder,recordedBy
Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Acmaeodera,Acmaeodera hepburnii,,"Acmaeodera hepburnii LeConte, 1860",Los Angeles County,California,,,1930-08-01T00:00:00Z,1,8,1930,PRESERVED_SPECIMEN,UA,UAIC1119138,,,University of Arizona,
Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Acraspis,Acraspis villosus,,Acraspis villosus Gillette,"Howell Mountain, NW Napa County",California,38.581296,-122.451091,1927-09-01T00:00:00Z,1,9,1927,PRESERVED_SPECIMEN,FMNH,FMNHINS 0003 370 424,Dr. Alfred C. Kinsey : University of Indiana,1928-01-01T00:00:00Z,The Field Mueum of Natural History,H. W. Clark
Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Alopecosa,Alopecosa kochi,,"Alopecosa kochi (Keyserling, 1877)",Los Angeles,California,34.059061,-118.364535,1936-01-01T00:00:00Z,,1,1936,PRESERVED_SPECIMEN,FMNH,FMNHINS 0002 993 064,,1978-01-01T00:00:00Z,The Field Mueum of Natural History,G. Grant
Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Alopecosa,Alopecosa kochi,,"Alopecosa kochi (Keyserling, 1877)",Los Angeles,California,34.059061,-118.364535,1936-01-01T00:00:00Z,,,1936,PRESERVED_SPECIMEN,FMNH,FMNHINS 0002 993 063,,1978-01-01T00:00:00Z,The Field Mueum of Natural History,G. Grant
Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Ancistrocerus,Ancistrocerus tuberculocephalus,sutterianus,"Ancistrocerus tuberculocephalus sutterianus de Saussure, 1875",Los Angeles,California,34.059061,-118.364535,1936-04-26T00:00:00Z,26,4,1936,PRESERVED_SPECIMEN,FMNH,FMNHINS 0003 200 539,Dr. Joseph C. Bequaert : Museum of Comparative Zoology,,The Field Mueum of Natural History,G. Grant
Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Arenophilus,Arenophilus iugans,,"Arenophilus iugans Chamberlin, 1944",Los Angeles,California,34.059061,-118.364535,1936-12-22T00:00:00Z,22,12,1936,PRESERVED_SPECIMEN,FMNH,FMNHINS 0000 008 410,,,The Field Mueum of Natural History,G. Grant
Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Asbolus,Asbolus laevis,,"Asbolus laevis LeConte, 1851","Sand hills, W of Yuma County Arizona",California,,,1937-05-01T00:00:00Z,1,5,1937,PRESERVED_SPECIMEN,FMNH,FMNHINS 0004 112 634,R. Aalbu : California Academy of Sciences,1985-01-01T00:00:00Z,The Field Mueum of Natural History,K. P. Schmidt
Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Asbolus,Asbolus laevis,,"Asbolus laevis LeConte, 1851","Sand hills, W of Yuma County Arizona",California,,,1937-05-01T00:00:00Z,1,5,1937,PRESERVED_SPECIMEN,FMNH,FMNHINS 0004 112 635,R. Aalbu : California Academy of Sciences,1985-01-01T00:00:00Z,The Field Mueum of Natural History,K. P. Schmidt
Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Asbolus,Asbolus laevis,,"Asbolus laevis LeConte, 1851","Sand hills, W of Yuma County Arizona",California,,,1937-05-01T00:00:00Z,1,5,1937,PRESERVED_SPECIMEN,FMNH,FMNHINS 0004 112 636,R. Aalbu : California Academy of Sciences,1985-01-01T00:00:00Z,The Field Mueum of Natural History,K. P. Schmidt
Animalia,Arthropoda,Diplopoda,Spirobolida,Atopetholidae,Atopetholus,Atopetholus angelus,,"Atopetholus angelus Chamberlin, 1920","Los Angeles, Bishops Road Reservoir Hill",California,,,1916-01-01T00:00:00Z,,,1916,PRESERVED_SPECIMEN,FMNH,FMNHINS 0000 000 011,Ralph V. Chamberlin : University of Utah,,The Field Mueum of Natural History,G. Grant
