Year,NestID,Species,Nest_with_cowbird_raised,Complete_Fledging_History,Nestling_number,Date_of_fledge,Fledge_time,
1998,a.1.200,Savannah Sparrow,No,Yes,1,7/20/1998,20:45,
1998,a.1.200,Savannah Sparrow,No,Yes,2,7/21/1998,11:52,
1998,a.1.200,Savannah Sparrow,No,Yes,3,7/21/1998,13:19,
1998,ae.1.7,Vesper Sparrow,No,Yes,1,6/16/1998,15:37,
1998,ae.1.7,Vesper Sparrow,No,Yes,2,6/17/1998,7:12,
1998,ae.1.7,Vesper Sparrow,No,Yes,3,6/17/1998,7:12,
1998,ae.1.7,Vesper Sparrow,No,Yes,4,6/17/1998,15:23,
1998,ae.1.22,Clay-colored Sparrow,No,Yes,1,6/22/1998,6:02,
1998,ae.1.22,Clay-colored Sparrow,No,Yes,2,6/22/1998,6:51,
1998,ae.1.22,Clay-colored Sparrow,No,Yes,3,6/22/1998,7:31,
1998,ae.1.22,Clay-colored Sparrow,No,Yes,4,6/22/1998,7:46,
1998,ae.1.107,Clay-colored Sparrow,No,No,1,6/15/1998,7:23,
1998,an.1.3,Vesper Sparrow,No,Yes,1,6/13/1998,10:16,
1998,an.1.3,Vesper Sparrow,No,Yes,2,6/13/1998,10:45,
1998,an.1.8,Clay-colored Sparrow,No,Yes,1,6/15/1998,6:57,
1998,an.1.8,Clay-colored Sparrow,No,Yes,2,6/15/1998,11:56,
1998,an.1.8,Clay-colored Sparrow,No,Yes,3,6/15/1998,11:56,
1998,an.1.8,Clay-colored Sparrow,No,Yes,4,6/15/1998,11:56,
1998,b.1.200,Savannah Sparrow,No,Yes,1,7/17/1998,7:43,
1998,b.1.200,Savannah Sparrow,No,Yes,2,7/17/1998,7:44,
1998,b.1.200,Savannah Sparrow,No,Yes,3,7/17/1998,8:32,
1998,b.1.200,Savannah Sparrow,No,Yes,4,7/17/1998,8:32,
1998,b.1.200,Savannah Sparrow,No,Yes,5,7/17/1998,8:33,
1998,b.1.201,Savannah Sparrow,No,No,1,8/5/1998,12:10,
2000,bu.as.23,Clay-colored Sparrow,No,Yes,1,7/8/2000,10:10,
2000,bu.as.23,Clay-colored Sparrow,No,Yes,2,7/8/2000,10:10,
2000,bu.as.23,Clay-colored Sparrow,No,Yes,3,7/8/2000,10:11,
2000,bu.jmc.11,Savannah Sparrow,No,Yes,1,7/19/2000,8:28,
2000,bu.jmc.11,Savannah Sparrow,No,Yes,2,7/19/2000,9:11,
2000,bu.jmc.11,Savannah Sparrow,No,Yes,3,7/19/2000,9:57,
1996,cf.2.4,Clay-colored Sparrow,No,Yes,1,6/19/1996,9:46,
1996,cf.2.4,Clay-colored Sparrow,No,Yes,2,6/19/1996,10:20,
1996,cf.2.4,Clay-colored Sparrow,No,Yes,3,6/19/1996,10:58,
1996,cf.2.4,Clay-colored Sparrow,No,Yes,4,6/19/1996,11:02,
1997,ch.1.16,Grasshopper Sparrow,No,No,1,7/5/1997,17:29,
1997,ch.2.8,Grasshopper Sparrow,No,Yes,1,7/8/1997,11:46,
1997,ch.2.8,Grasshopper Sparrow,No,Yes,2,7/9/1997,8:29,
1997,ch.2.8,Grasshopper Sparrow,No,Yes,3,7/9/1997,8:29,
1997,ch.2.8,Grasshopper Sparrow,No,Yes,4,7/9/1997,8:29,
1997,ch.2.32,Chestnut-collared Longspur,No,Yes,1,7/28/1997,8:51,
1997,ch.2.32,Chestnut-collared Longspur,No,Yes,2,7/28/1997,9:11,
1997,ch.2.32,Chestnut-collared Longspur,No,Yes,3,7/28/1997,9:57,
1997,ch.2.32,Chestnut-collared Longspur,No,Yes,4,7/28/1997,13:05,
1997,ch.2.40,Grasshopper Sparrow,Yes,No,1,8/7/1997,11:01,
1997,ch.2.40,Grasshopper Sparrow,Yes,No,2,8/7/1997,11:04,
1997,ch.2.40,Brown-headed Cowbird,Yes,No,3,8/8/1997,8:33,
2001,ch.as.2,Clay-colored Sparrow,Yes,No,1,6/12/2001,9:45,
2001,ch.as.2,Brown-headed Cowbird,Yes,No,2,6/14/2001,5:53,
2001,ch.as.3,Clay-colored Sparrow,No,Yes,1,6/12/2001,8:19,
2001,ch.as.3,Clay-colored Sparrow,No,Yes,2,6/12/2001,9:04,
2001,ch.as.3,Clay-colored Sparrow,No,Yes,3,6/12/2001,9:04,
2001,ch.as.33,Savannah Sparrow,No,Yes,1,7/20/2001,11:13,
2001,ch.as.33,Savannah Sparrow,No,Yes,2,7/20/2001,12:53,
2001,ch.as.33,Savannah Sparrow,No,Yes,3,7/20/2001,12:58,
2001,ch.as.33,Savannah Sparrow,No,Yes,4,7/20/2001,14:43,
2001,ch.sm.33,Clay-colored Sparrow,No,Yes,1,7/16/2001,6:03,
2001,ch.sm.33,Clay-colored Sparrow,No,Yes,2,7/16/2001,9:31,
2001,ch.sm.33,Clay-colored Sparrow,No,Yes,3,7/16/2001,9:50,
2001,ch.sm.33,Clay-colored Sparrow,No,Yes,4,7/17/2001,11:51,
1997,cl.2.2,Chestnut-collared Longspur,No,Yes,1,6/25/1997,17:12,
1997,cl.2.2,Chestnut-collared Longspur,No,Yes,2,6/26/1997,8:48,
1997,cl.2.2,Chestnut-collared Longspur,No,Yes,3,6/26/1997,9:45,
1997,cl.2.2,Chestnut-collared Longspur,No,Yes,4,6/26/1997,9:45,
1997,cl.2.2,Chestnut-collared Longspur,No,Yes,5,6/26/1997,12:35,
1997,cl.2.5,Bobolink,No,Yes,1,6/26/1997,14:56,
